Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Abdul Samad,4,3,4,0,0,100.00,1,,v KKR,Chennai,26 May 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdur Razzak,0*,-,2,0,0,0.00,2,,v RR,Jaipur,17 May 2008,
(Royal Challengers Bangalore),,,,,,,,,,,,
Abhishek Sharma,46*,-,19,3,4,242.10,1,,v RCB,Delhi,12 May 2018,
(Delhi Daredevils),,,,,,,,,,,,
Abhishek Sharma,2,-,4,0,0,50.00,1,,v CSK,Delhi,18 May 2018,
(Delhi Daredevils),,,,,,,,,,,,
Abhishek Sharma,15*,-,10,0,1,150.00,1,,v MI,Delhi,20 May 2018,
(Delhi Daredevils),,,,,,,,,,,,
Abhishek Sharma,2,9,3,0,0,66.66,2,,v DC,Hyderabad,14 Apr 2019,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,5*,5,3,1,0,166.66,1,,v Kings XI,Hyderabad,29 Apr 2019,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,2,8,3,0,0,66.66,2,,v MI,Wankhede,2 May 2019,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,7,-,4,1,0,175.00,2,,v RCB,Dubai (DICS),21 Sep 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,2*,-,3,0,0,66.66,1,,v KKR,Abu Dhabi,26 Sep 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,1*,-,1,0,0,100.00,1,,v DC,Abu Dhabi,29 Sep 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,31,-,24,4,1,129.16,1,,v CSK,Dubai (DICS),2 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,10,-,13,0,0,76.92,2,,v MI,Sharjah,4 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,12,-,6,1,1,200.00,1,,v Kings XI,Dubai (DICS),8 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,DNB,-,-,-,-,-,1,,v RR,Dubai (DICS),11 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,8,-,5,0,1,160.00,2,,v RCB,Sharjah,31 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,2,5,4,0,0,50.00,2,,v MI,Chennai,17 Apr 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,DNB,-,-,-,-,-,2,,v Punjab Kings,Chennai,21 Apr 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,5,14,6,0,0,83.33,2,,v DC,Chennai,25 Apr 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,21*,30,16,1,1,131.25,2,,v RR,Dubai (DICS),27 Sep 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,18,27,13,1,1,138.46,1,,v CSK,Sharjah,30 Sep 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,6,14,10,0,0,60.00,1,,v KKR,Dubai (DICS),3 Oct 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,13,11,10,1,1,130.00,1,,v RCB,Abu Dhabi,6 Oct 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,33,38,16,4,1,206.25,2,,v MI,Abu Dhabi,8 Oct 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,9,42,19,1,0,47.36,2,,v RR,Pune,29 Mar 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,13,25,11,2,0,118.18,2,,v LSG,DY Patil,4 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,75,81,50,5,3,150.00,2,,v CSK,DY Patil,9 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,42,44,32,6,0,131.25,2,,v GT,DY Patil,11 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,3,8,10,0,0,30.00,2,,v KKR,Brabourne,15 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,31,51,25,3,1,124.00,2,,v Punjab Kings,DY Patil,17 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,47,37,28,8,1,167.85,2,,v RCB,Brabourne,23 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,65,79,42,6,3,154.76,1,,v GT,Wankhede,27 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,39,29,24,5,1,162.50,2,,v CSK,Pune,1 May 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,7,10,6,1,0,116.66,2,,v DC,Brabourne,5 May 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,0,7,3,0,0,0.00,2,,v RCB,Wankhede,8 May 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abhishek Sharma,43,-,28,4,2,153.57,2,,v KKR,Pune,14 May 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
